Position,Players,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Fifties,Fours,Sixes
43,Faf du Plessis,59,52,4,1457,73,30.35,"1,141",127.69,0,9,127,44
44,Lokesh Rahul,53,44,8,1384,95*,38.44,993,139.37,0,10,127,56
45,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
46,Brad Hodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
47,Naman Ojha,113,94,19,1554,94*,20.72,"1,313",118.35,0,6,121,79
48,Matthew Hayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
49,Suryakumar Yadav,69,56,14,1124,72,26.76,849,132.39,0,5,116,37
50,Rishabh Pant,38,38,3,1248,128*,35.65,767,162.71,1,8,115,67
51,Quinton de Kock,34,34,1,927,108,28.09,711,130.37,1,6,110,29
52,Glenn Maxwell,69,68,7,1397,95,22.90,867,161.13,0,6,109,91
53,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
54,Dwayne Bravo,122,92,34,1379,70*,23.77,"1,074",128.39,0,5,108,57
55,Shreyas Iyer,46,46,6,1218,96,30.45,938,129.85,0,10,108,53
56,David Miller,69,67,21,1637,101*,35.58,"1,169",140.03,1,8,107,80
57,Jos Buttler,37,37,6,1075,95*,34.67,714,150.56,0,6,102,47
58,Kane Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,99,39
59,Manan Vohra,49,45,2,1012,95,23.53,768,131.77,0,3,97,39
60,Graeme Smith,29,29,3,739,91,28.42,668,110.62,0,4,94,9
61,Saurabh Tiwary,81,64,19,1276,61,28.35,"1,067",119.58,0,7,93,45
62,Manvinder Bisla,39,39,1,798,92,21.00,702,113.67,0,4,93,23
63,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
64,Mayank Agarwal,64,59,3,934,68,16.67,754,123.87,0,3,91,38
65,David Hussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
66,Irfan Pathan,103,82,29,1139,60,21.49,946,120.40,0,1,87,37
67,Moises Henriques,57,50,16,969,74*,28.50,756,128.17,0,5,87,27
68,Chris Lynn,28,28,3,875,93*,35.00,620,141.12,0,6,87,41
69,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
70,Sanath Jayasuriya,30,29,2,748,114*,27.70,521,143.57,1,4,80,39
71,Harbhajan Singh,149,86,35,800,64,15.68,583,137.22,0,1,78,39
72,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
73,Cameron White,47,45,9,954,78,26.50,755,126.35,0,6,76,36
74,Sunil Narine,98,48,12,628,75,17.44,372,168.81,0,3,76,35
75,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
76,Kedar Jadhav,65,58,20,917,69,24.13,684,134.06,0,3,73,35
77,Eoin Morgan,52,45,5,854,66,21.35,705,121.13,0,4,72,34
78,Shakib Al Hasan,60,45,11,737,66*,21.67,579,127.28,0,2,70,20
79,Jesse Ryder,29,29,1,604,86,21.57,458,131.87,0,4,69,19
80,Krunal Pandya,39,33,10,708,86,30.78,460,153.91,0,1,68,30
81,Ross Taylor,55,54,14,1017,81*,25.42,822,123.72,0,3,66,46
82,Andre Russell,50,39,6,890,88*,26.96,502,177.29,0,4,65,68
83,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
84,Stuart Binny,87,63,21,810,48*,19.28,643,125.97,0,0,61,31
85,Rahul Tripathi,26,26,3,617,93,26.82,434,142.16,0,3,61,25
86,Paul Valthaty,23,23,1,505,120*,22.95,418,120.81,1,2,61,20
87,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
88,George Bailey,40,37,10,663,61*,24.55,544,121.87,0,2,59,19
89,Nitish Rana,32,30,3,741,70,27.44,571,129.77,0,5,57,39
90,Ishan Kishan,30,27,0,594,62,22.00,431,137.81,0,3,56,30
91,SA Asnodkar,20,20,0,423,60,21.15,339,124.77,0,2,56,10
92,Tirumalasetti Suman,43,40,8,676,78*,21.12,575,117.56,0,2,55,26
93,Piyush Chawla,144,76,30,542,24*,11.78,487,111.29,0,0,50,16
94,Cheteshwar Pujara,30,22,3,390,51,20.52,391,99.74,0,1,50,4
95,Abhishek Nayar,60,49,11,627,38,16.50,557,112.56,0,0,49,19
96,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
97,Michael Lumb,12,12,0,278,83,23.16,194,143.29,0,1,45,6
98,Angelo Mathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
99,Hardik Pandya,50,46,18,666,61*,23.78,480,138.75,0,2,44,39
100,Mithun Manhas,55,38,15,514,42*,22.34,470,109.36,0,0,43,10
